vol,ask,bid,open,close,high,low,start,end,tendencia,d,condicion,pasa_close,pasa_d2
771237.0,41423.0,41409.25,1426.0,1433.0,1434.0,1422.25,2006-01-06 08:30:00,2006-01-06 15:30:00,1,,,0,0
616382.0,41603.0,41589.25,1432.0,1434.5,1438.5,1431.5,2006-01-09 08:30:00,2006-01-09 15:30:00,1,1.0,1.0,1,1
744823.0,41578.25,41564.5,1431.25,1434.75,1437.5,1430.25,2006-01-10 08:30:00,2006-01-10 15:30:00,1,3.25,1.0,1,1
711345.0,41707.25,41693.75,1437.75,1441.25,1442.0,1434.5,2006-01-11 08:30:00,2006-01-11 15:30:00,1,3.0,0.0,0,0
613067.0,41702.75,41689.25,1438.5,1432.5,1440.0,1432.0,2006-01-12 08:30:00,2006-01-12 15:30:00,-1,2.75,1.0,0,1
601751.0,41558.5,41544.25,1433.25,1432.75,1435.75,1428.75,2006-01-13 08:30:00,2006-01-13 15:30:00,-1,0.75,1.0,1,1
9673.0,18659.25,18653.75,1434.0,1435.75,1436.25,1433.75,2006-01-16 08:30:00,2006-01-16 18:15:00,1,1.25,1.0,0,0
627248.0,41425.0,41410.75,1427.75,1429.25,1430.75,1424.5,2006-01-17 08:30:00,2006-01-17 15:30:00,1,8.0,1.0,0,0
948635.0,41253.5,41239.5,1420.5,1423.25,1428.75,1417.75,2006-01-18 08:30:00,2006-01-18 15:30:00,1,8.75,1.0,0,1
795680.0,41446.75,41432.75,1427.25,1431.0,1434.0,1424.25,2006-01-19 08:30:00,2006-01-19 15:30:00,1,4.0,0.0,0,0
1292273.0,41168.25,41153.75,1427.0,1409.0,1430.0,1408.25,2006-01-20 08:30:00,2006-01-20 15:30:00,-1,4.0,1.0,0,1
746451.0,40896.75,40883.25,1409.5,1410.25,1413.75,1407.0,2006-01-23 08:30:00,2006-01-23 15:30:00,1,0.5,1.0,1,1
805452.0,40984.0,40969.75,1412.25,1413.0,1417.25,1409.5,2006-01-24 08:30:00,2006-01-24 15:30:00,1,2.0,0.0,0,0
1084344.0,40935.75,40921.25,1415.75,1408.0,1417.0,1403.25,2006-01-25 08:30:00,2006-01-25 15:30:00,-1,2.75,0.0,0,0
790038.0,41115.25,41100.75,1418.75,1419.75,1421.75,1412.5,2006-01-26 08:30:00,2006-01-26 15:30:00,1,10.75,1.0,0,1
721996.0,41379.75,41365.25,1423.75,1429.0,1431.5,1418.5,2006-01-27 08:30:00,2006-01-27 15:30:00,1,4.0,0.0,0,0
430953.0,41493.75,41480.0,1430.75,1429.75,1432.75,1428.25,2006-01-30 08:30:00,2006-01-30 15:30:00,-1,1.75,0.0,0,0
689167.0,41355.25,41341.25,1428.0,1429.0,1429.75,1420.75,2006-01-31 08:30:00,2006-01-31 15:30:00,1,1.75,0.0,0,0
808243.0,41307.5,41293.0,1422.0,1425.25,1427.5,1421.25,2006-02-01 08:30:00,2006-02-01 15:30:00,1,7.0,1.0,0,1
844593.0,40912.0,40897.75,1415.75,1409.0,1417.5,1404.5,2006-02-03 08:30:00,2006-02-03 15:30:00,-1,9.5,1.0,0,0
828748.0,40715.5,40701.0,1406.25,1398.25,1409.75,1397.0,2006-02-07 08:30:00,2006-02-07 15:30:00,-1,2.75,0.0,0,0
737941.0,41017.0,41002.75,1411.0,1410.0,1418.75,1409.25,2006-02-09 08:30:00,2006-02-09 15:30:00,-1,12.75,1.0,0,0
858696.0,40760.0,40745.5,1407.75,1411.75,1414.0,1398.0,2006-02-10 08:30:00,2006-02-10 15:30:00,1,2.25,0.0,0,0
528616.0,40813.25,40799.25,1407.75,1404.25,1410.25,1401.5,2006-02-13 08:30:00,2006-02-13 15:30:00,-1,4.0,1.0,0,1
969838.0,40997.25,40983.0,1409.25,1420.0,1422.5,1404.0,2006-02-14 08:30:00,2006-02-14 15:30:00,1,5.0,1.0,1,1
855517.0,41169.75,41155.75,1417.75,1421.5,1424.75,1413.75,2006-02-15 08:30:00,2006-02-15 15:30:00,1,2.25,1.0,1,1
583927.0,41379.75,41365.5,1424.25,1429.25,1430.0,1423.25,2006-02-16 08:30:00,2006-02-16 15:30:00,1,2.75,0.0,0,0
455556.0,41504.5,41490.25,1432.0,1429.5,1433.25,1427.0,2006-02-17 08:30:00,2006-02-17 15:30:00,-1,2.75,0.0,0,0
3343.0,18585.75,18580.0,1429.0,1429.25,1430.0,1428.5,2006-02-20 08:30:00,2006-02-20 18:15:00,1,0.5,0.0,0,0
598935.0,41437.75,41423.75,1433.25,1427.0,1435.25,1424.0,2006-02-21 08:30:00,2006-02-21 15:30:00,-1,4.0,0.0,0,0
638410.0,41549.75,41535.75,1426.75,1434.75,1437.0,1426.0,2006-02-22 08:30:00,2006-02-22 15:30:00,1,0.25,0.0,0,0
594848.0,41572.5,41558.75,1433.0,1434.25,1437.0,1427.5,2006-02-23 08:30:00,2006-02-23 15:30:00,1,1.75,1.0,1,1
446669.0,41529.0,41514.75,1430.75,1433.5,1435.25,1428.0,2006-02-24 08:30:00,2006-02-24 15:30:00,1,3.5,1.0,1,1
439935.0,41696.25,41682.0,1433.75,1439.5,1440.75,1433.0,2006-02-27 08:30:00,2006-02-27 15:30:00,1,0.25,0.0,0,0
928097.0,41391.5,41377.5,1435.0,1423.75,1435.0,1421.0,2006-02-28 08:30:00,2006-02-28 15:30:00,-1,4.5,1.0,0,0
579960.0,41457.25,41443.5,1426.0,1433.5,1434.25,1424.5,2006-03-01 08:30:00,2006-03-01 15:30:00,1,2.25,1.0,0,1
809255.0,41454.75,41440.5,1430.75,1432.0,1433.5,1425.25,2006-03-02 08:30:00,2006-03-02 15:30:00,1,2.75,1.0,1,1
903622.0,41539.25,41524.75,1431.0,1433.0,1440.0,1421.0,2006-03-03 08:30:00,2006-03-03 15:30:00,1,1.0,1.0,1,1
732885.0,41090.0,41075.5,1417.0,1416.25,1419.5,1412.75,2006-03-07 08:30:00,2006-03-07 15:30:00,-1,16.0,1.0,0,0
821693.0,41078.0,41063.75,1416.0,1421.5,1422.75,1409.75,2006-03-08 08:30:00,2006-03-08 15:30:00,1,0.25,0.0,0,0
566548.0,41214.75,41200.25,1424.0,1414.75,1424.75,1413.75,2006-03-09 08:30:00,2006-03-09 15:30:00,-1,2.5,0.0,0,0
795578.0,38364.75,38351.5,1414.75,1421.5,1426.25,1412.25,2006-03-10 09:00:00,2006-03-10 15:30:00,1,0.0,0.0,0,0
578027.0,41374.0,41360.25,1425.25,1424.5,1429.5,1423.0,2006-03-13 08:30:00,2006-03-13 15:30:00,-1,3.75,0.0,0,0
818555.0,41519.25,41505.0,1425.5,1438.75,1440.0,1423.75,2006-03-14 08:30:00,2006-03-14 15:30:00,1,1.0,1.0,1,1
656062.0,41757.0,41742.75,1439.25,1445.0,1446.0,1436.0,2006-03-15 08:30:00,2006-03-15 15:30:00,1,0.5,0.0,0,0
726219.0,42011.5,41997.5,1444.0,1448.0,1452.25,1442.75,2006-03-16 08:30:00,2006-03-16 15:30:00,1,1.0,1.0,1,1
383895.0,34773.5,34762.0,1448.25,1447.0,1451.5,1446.25,2006-03-17 09:45:00,2006-03-17 15:30:00,-1,0.25,0.0,0,0
891191.0,41926.25,41912.25,1444.0,1437.0,1452.25,1436.5,2006-03-21 08:30:00,2006-03-21 15:30:00,-1,3.0,0.0,0,0
582760.0,41795.25,41780.75,1436.25,1444.0,1445.0,1436.0,2006-03-22 08:30:00,2006-03-22 15:30:00,1,0.75,0.0,0,0
514536.0,41845.25,41831.0,1440.5,1443.25,1447.0,1438.25,2006-03-24 08:30:00,2006-03-24 15:30:00,1,3.5,1.0,1,1
387232.0,41820.75,41806.25,1444.75,1442.25,1444.75,1438.5,2006-03-27 08:30:00,2006-03-27 15:30:00,-1,1.5,0.0,0,0
762129.0,41811.25,41797.5,1441.25,1433.25,1446.25,1431.25,2006-03-28 08:30:00,2006-03-28 15:30:00,-1,1.0,0.0,0,0
757020.0,41752.75,41738.75,1435.25,1444.75,1445.75,1433.0,2006-03-29 08:30:00,2006-03-29 15:30:00,1,2.0,1.0,1,1
868848.0,41816.0,41802.0,1442.25,1440.75,1450.0,1435.5,2006-03-30 08:30:00,2006-03-30 15:30:00,-1,2.5,1.0,1,1
580664.0,41709.5,41695.0,1437.25,1436.25,1442.5,1433.5,2006-03-31 08:30:00,2006-03-31 15:30:00,-1,3.5,0.0,0,0
918105.0,41876.5,41862.75,1440.0,1436.75,1448.75,1435.0,2006-04-03 08:30:00,2006-04-03 15:30:00,-1,3.75,1.0,1,1
1002227.0,41809.5,41795.25,1437.75,1445.75,1447.0,1433.0,2006-04-04 08:30:00,2006-04-04 15:30:00,1,1.0,1.0,1,1
798016.0,41990.25,41975.75,1445.75,1449.75,1452.0,1443.0,2006-04-05 08:30:00,2006-04-05 15:30:00,1,0.0,0.0,0,0
846609.0,41966.75,41953.0,1448.0,1448.0,1451.25,1440.75,2006-04-06 08:30:00,2006-04-06 15:30:00,1,1.75,1.0,1,1
1232721.0,41747.5,41733.5,1452.25,1434.25,1453.0,1432.0,2006-04-07 08:30:00,2006-04-07 15:30:00,-1,4.25,0.0,0,0
687918.0,41646.25,41631.75,1435.75,1436.25,1439.5,1431.0,2006-04-10 08:30:00,2006-04-10 15:30:00,1,1.5,1.0,1,1
1061726.0,41404.75,41390.25,1436.5,1424.5,1438.5,1420.0,2006-04-11 08:30:00,2006-04-11 15:30:00,-1,0.25,0.0,0,0
583633.0,41364.0,41350.5,1425.25,1426.5,1429.0,1423.75,2006-04-12 08:30:00,2006-04-12 15:30:00,1,0.75,1.0,1,1
633663.0,41357.0,41342.75,1423.5,1424.75,1430.0,1420.25,2006-04-13 08:30:00,2006-04-13 15:30:00,1,3.0,1.0,1,1
707538.0,41318.75,41304.75,1426.5,1423.5,1430.0,1417.25,2006-04-17 08:30:00,2006-04-17 15:30:00,-1,1.75,0.0,0,0
1384869.0,40205.5,40191.5,1426.75,1446.25,1446.75,1426.25,2006-04-18 08:30:00,2006-04-18 15:45:00,1,3.25,1.0,0,0
842882.0,41911.75,41897.5,1444.0,1446.5,1447.5,1439.0,2006-04-19 08:30:00,2006-04-19 15:30:00,1,2.25,1.0,1,1
1001416.0,42022.5,42008.25,1446.5,1447.5,1455.5,1442.5,2006-04-20 08:30:00,2006-04-20 15:30:00,1,0.0,0.0,0,0
1433297.0,82486.75,82459.0,1446.0,1445.25,1454.75,1439.75,2006-04-24 08:30:00,2006-04-24 15:30:00,-1,1.5,1.0,1,1
